Time,Moves,Score
0:16,167,21
0:28,283,32
0:24,258,33
0:28,295,33
0:16,178,23
0:26,265,31
0:24,258,35
0:12,132,24
0:22,223,29
0:28,295,37
0:28,280,34
0:12,133,20
0:32,323,34
0:22,221,30
0:06,63,11
0:30,315,32
0:14,143,20
0:16,166,22
0:12,136,18
0:26,266,30
0:18,181,24
0:22,224,30
0:22,221,27
0:26,259,34
0:18,179,22
0:16,162,27
0:04,57,8
0:26,271,36
0:22,238,29
0:22,231,27
0:12,131,20
0:18,197,28
0:18,195,24
0:38,394,46
0:16,166,24
0:16,176,25
0:20,201,32
0:36,366,37
0:28,291,40
0:28,287,32
0:32,321,44
0:38,388,38
0:26,273,33
0:24,250,36
0:20,214,28
0:30,311,34
0:16,173,22
0:24,247,30
0:12,136,20
0:26,260,37
0:12,122,18
0:10,119,18
0:28,282,32
0:08,93,14
0:16,168,28
0:28,283,31
0:20,199,26
0:22,234,33
0:08,99,16
0:14,154,21
0:32,320,41
0:26,271,35
0:22,226,30
0:22,226,28
0:32,322,36
0:20,212,29
0:20,202,24
0:28,283,29
0:24,252,30
0:14,152,22
0:20,217,30
0:30,310,39
0:20,206,29
0:12,131,18
0:24,251,32
0:24,247,35
0:14,155,26
0:40,413,48
0:28,290,41
0:18,186,24
0:22,220,25
0:34,339,39
0:08,84,14
0:20,213,26
0:20,215,27
0:16,174,25
0:22,230,27
0:24,257,34
0:28,294,34
0:34,350,39
0:32,334,38
0:26,275,38
0:12,138,19
0:32,322,35
0:16,176,25
0:12,128,18
0:14,155,22
0:26,271,35
0:24,249,35
0:28,298,35
0:16,178,22
0:38,382,46
0:14,153,23
0:28,289,29
0:24,256,30
0:24,248,31
0:24,258,36
0:16,175,28
0:34,347,39
0:26,274,31
0:16,163,21
0:10,111,15
0:12,128,18
0:16,169,22
0:24,242,34
0:32,338,38
0:22,221,26
0:10,114,17
0:10,114,20
0:26,263,31
0:20,214,25
0:14,147,23
0:32,336,39
0:18,196,26
0:16,167,24
0:08,95,14
0:16,163,23
0:14,147,20
0:24,247,33
0:26,270,33
0:32,319,37
0:16,159,23
0:12,125,17
0:28,297,34
0:12,121,20
0:18,185,26
0:30,312,32
0:14,151,17
0:30,302,37
0:16,170,22
0:08,86,14
0:24,244,37
0:24,254,32
0:32,328,36
0:30,303,34
0:18,192,26
0:16,176,22
0:34,353,41
0:40,405,43
0:26,262,34
0:40,405,48
0:28,297,33
0:16,172,26
0:20,215,26
0:08,93,14
0:16,163,18
0:28,279,35
0:10,109,17
0:24,253,28
0:20,202,27
0:22,233,31
0:30,313,39
0:32,335,41
0:18,189,26
0:38,387,42
0:30,304,33
0:14,142,19
0:10,115,20
0:22,224,29
0:30,299,35
0:24,250,31
0:22,233,27
0:32,327,37
0:24,249,31
0:22,228,27
0:20,218,31
0:14,156,25
0:26,262,27
0:36,369,42
0:16,173,23
0:24,256,34
0:22,223,27
0:48,479,44
0:24,255,29
0:18,189,28
0:36,360,44
0:06,67,11
0:30,300,33
0:24,257,32
0:18,191,25
0:18,179,26
0:18,196,27
0:10,111,18
0:26,275,32
0:10,109,18
0:16,178,26
0:08,99,14
0:18,198,32
0:22,233,31
0:30,301,36
0:34,347,43
0:32,326,36
0:36,374,40
0:12,126,18
0:20,214,30
0:16,175,26
0:24,251,32
0:22,236,33
0:14,148,23
0:26,262,34
0:30,298,38
0:26,274,32
0:22,231,27
0:34,341,38
0:18,189,29
0:14,158,23
0:30,301,41
0:28,290,34
0:10,106,16
0:16,163,23
0:18,193,26
0:26,260,30
0:30,304,32
0:28,293,39
0:16,170,24
0:04,42,8
0:20,208,22
0:28,282,34
0:28,290,39
0:22,238,29
0:12,126,19
0:12,128,21
0:16,162,24
0:24,243,31
0:14,147,26
0:20,202,27
0:22,219,27
0:14,146,22
0:32,332,35
0:14,142,18
0:22,229,27
0:20,201,28
0:24,245,34
0:16,171,24
0:26,276,36
0:20,202,27
0:26,277,34
0:16,173,21
0:14,148,23
0:28,286,35
0:20,202,28
0:30,317,33
0:22,219,28
0:32,322,39
0:30,303,38
0:32,327,37
0:22,221,29
0:16,165,23
0:22,228,34
0:26,267,35
0:10,119,17
0:18,198,26
0:08,82,14
0:16,171,29
0:18,196,24
0:16,171,23
0:22,219,32
0:26,278,31
0:10,103,14
0:26,274,34
0:12,130,20
0:20,211,24
0:24,244,32
0:16,174,24
0:18,186,29
0:16,178,24
0:32,325,40
0:10,101,12
0:22,232,26
0:14,153,23
0:18,179,25
0:14,142,22
0:08,92,15
0:20,207,26
0:16,170,25
0:16,174,22
0:04,54,10
0:26,269,29
0:22,230,33
0:16,163,24
0:50,502,53
0:06,79,14
0:18,188,26
0:24,248,33
0:22,219,26
0:26,262,31
0:24,246,30
0:18,191,25
0:10,100,14
0:28,292,34